Brunnen,2007,2008,2009,2010,2011,2012,2013,2014,2015
W 5588,0,0,0,0,0,0,0,0,0
W 5590,0,0,0,0,0,0,0,0,0
W 5592,0,0,0,0,0,0,0,0,0
W 5593,0,0,0,0,0,0,0,0,0
W 5594,0,0,0,0,0,0,0,0,0
W 5596,0,0,0,0,0,0,0,0,0
W 5598,0,0,0,0,0,0,0.209639239,0.185670702,0
W 5599,0,0,0,0,0,0,0,0,0.095656261
W 5600,0,0,0,0,0,0,0,0,0.096586958
W 5601,0,0,0,0,0,0,0,0,0
W 5602,0,0,0,0,0,0,0,0,0.236316989
W 5603,0,0,0,0,0,0,0,0,0.213409505
W 5604,0,0,0,0,0,0,0,0,0
W 5605,0,0,0,0,0,0,0,0,0
W 5606,0,0,0,0,0,0,0,0,0
W 5607,0,0,0,0,0,0,0,0,0.228548441
W 5608,0,0,0,0,0,0,0.489148099,0.418534797,0.268670071
W 5609,0,0,0,0,0,0,0.497890721,0,0.120997526
W 5610,0,0,0,0,0,0,0.236541261,0.162972345,0.108993587
W 5611,0,0,0,0,0,0.295946762,0.232679689,0.067914265,0.029475143
W 5612,0,0,0,0,0,0,0.247153264,0.155603768,0.052076245
W 5613,0,0,0,0,0,0,0,0.069405148,0.058921186
W 5614,0,0,0,0,0,0,0,0.168984959,0.096486554
W 5617,0,0,0,0,0,0,0,0,0
W 5618,0,0,0,0,0,0,0,0,0
W 5619,0,0,0,0,0,0,0.022854988,0,0
W 5620,0,0,0,0,0,0,0,0.21461341,0.092159646
W 5621,0,0,0,0,0,0,0,0,0
W 5622,0,0,0,0,0,0,0,0,0
W 5626,0,0,0,0,0,0,0.092685399,0,0.024991688
W 5627,0,0,0,0,0,0,0.158910229,0.114064252,0.066609431
W 5628,0,0,0,0,0,0.316383474,0.174301851,0.075975753,0.032746336
W 5629,0,0,0,0,0,0,0,0,0
W 5631,0,0,0,0,0,0,0,0,0
W 5632,0,0,0,0,0,0,0,0,0
W 5638,0,0,0,0,0,0.197022442,0.206892835,0.077554635,0.022750467
W 5639,0,0,0,0,0,0,0,0.157012758,0.101588524
W 5640,0,0,0,0,0,0,0,0.123028442,0.110855727
W 5643,0,0,0,0,0,0,0,0,0
W 5646,0,0,0,0,0,0,0,0,0
W 5648,0,0,0,0,0,0,0,0,0
W 5649,0,0,0,0,0,0,0,0,0
W 5650,0,0,0,0,0,0,0,0,0
W 5651,0,0,0,0,0,0,0,0,0.407397476
W 5654,0,0,0,0,0,0,0,0.534097754,0.341151393
W 5655,0,0,0,0,0,0,0.449749118,0.205143466,0.120239282
W 5656,0,0,0,0,0,0,0.47979836,0.170369122,0.115678324
W 5657,0,0,0,0,0,0,0,0,0
W 5658,0,0,0,0,0,0,0,0,0
W 5659,0,0,0,0,0,0,0,0,0
W 5660,0,0,0,0,0,0,0,0,0
W 5661,0,0,0,0,0,0,0,0,0.23438395
W 5662,0,0,0,0,0,0,0,0,0
W 5663,0,0,0,0,0,0,0.295995895,0.155704514,0.154334764
W 5664,0,0,0,0,0,0,0.24959619,0.17702851,0.131261151
W 5666,0,0,0,0,0,0,0,0,0
W 5667,0,0,0,0,0,0,0,0.112139489,0.138149047
W 5668,0,0,0,0,0,0,0,0,0.23961712
W 5669,0,0,0,0,0,0,0,0.135147764,0.155521002
W 5670,0,0,0,0,0,0,0,0,0.240755174
W 5671,0,0,0,0,0,0,0,0,0.162985938
W 5672,0,0,0,0,0,0,0,0.070857418,0.106779714
W 5673,0,0,0,0,0,0,0,0.043219486,0.059368309
W 5677,0,0,0,0,0,0,0,0,0
W 5678,0,0,0,0,0,0,0,0,0
W 5679,0,0,0,0,0,0,0,0,0
W 5680,0,0,0,0,0,0,0,0,0
W 5682,0,0,0,0,0,0,0.134844074,0.057452225,0.013478149
W 5683,0,0,0,0,0,0,0.131620979,0.074919687,0.048189512
W 5684,0,0,0,0,0,0,0,0.19763934,0.114698177
W 5685,0,0,0,0,0,0,0,0,0
W 5686,0,0,0,0,0,0,0.292602627,0.202141782,0.098092199
W 5687,0,0,0,0,0,0,0,0.220204741,0.169372946
W 5688,0,0,0,0,0,0,0,0,0
W 5689,0,0,0,0,0,0,0,0,0.023073752
W 5690,0,0,0,0,0,0,0,0.153496195,0.058808504
W 5691,0,0,0,0,0,0,0,0.315307275,0.184938535
W 5695,0,0,0,0,0,0,0,0.416192439,0.196538695
W 5697,0,0,0,0,0,0,0,0,0.204885317
W 5698,0,0,0,0,0,0,0,0,0.193478333
W 5699,0,0,0,0,0,0,0,0,0.137509113
W 5701,0,0,0,0,0,0,0,0,0
W 5702,0,0,0,0,0,0,0,0.399084165,0.305123286
W 5704,0,0,0,0,0,0,0,0.047696839,0
W 5706,0,0,0,0,0,0,0,0,0
W 5707,0,0,0,0,0,0,0,0.321782253,0.201543507
W 5708,0,0,0,0,0,0,0,0.141381204,0.119011083
W 5709,0,0,0,0,0,0,0,0,0.179083328
W 5713,0,0,0,0,0,0.54775895,0.510043323,0.332119235,0.206140161
W 5715,0,0,0,0,0,0,0,0.269378808,0.14867253
W 5716,0,0,0,0,0,0,0,0.364163407,0.134185005
W 5717,0,0,0,0,0,0,0.231366834,0.142600029,0.093196617
W 5718,0,0,0,0,0,0,0,0.143054855,0.041152206
W 5719,0,0,0,0,0,0,0,0.155340097,0.076922426
W 5720,0,0,0,0,0,0,0,0.172440118,0.138495699
W 5721,0,0,0,0,0,0,0.129910799,0.073397378,0.02548308
W 5722,0,0,0,0,0,0,0.26585939,0.129188063,0.061880416
W 5723,0,0,0,0,0,0,0,0.190924201,0.085692047
W 5724,0,0,0,0,0,0,0.215333818,0.054843144,0.019669249
W 5725,0,0,0,0,0,0,0,0,0.072098718
W 5733,0,0,0,0,0,0,0,0,0
W 5734,0,0,0,0,0,0,0,0.090367663,0.037456805
W 5736,0,0,0,0,0,0,0.126242437,0.115606724,0.048942029
W 5737,0,0,0,0,0,0.209944364,0.145628073,0.072929345,0.045294417
W 5740,0,0,0,0,0,0.221970642,0.191812574,0.125763314,0.070276791
W 5741,0,0,0,0,0,0.17898187,0.198859842,0.121049236,0
W 5742,0,0,0,0,0,0.101985406,0.13834224,0.055075897,0.038234129
W 5743,0,0,0,0,0.226983225,0.169792513,0.094087039,0.080078428,0.059868536
W 5744,0,0,0,0,0.238170851,0.262680188,0.156320889,0.098090832,0.06967496
W 5746,0,0,0,0,0,0,0.16303219,0.079423637,0.051335583
W 5752,0,0,0,0,0,0,0,0,0
W 5753,0,0,0,0,0,0,0,0,0
W 5754,0,0,0,0,0,0,0,0,0
W 5756,0,0,0,0,0,0,0.089606321,0,0
W 5757,0,0,0,0,0,0,0.162966749,0.161368704,0.042977212
W 5761,0,0,0,0,0,0,0,0,0.057995976
W 5764,0,0,0,0,0,0.225387475,0.160957611,0.056291432,0.026031627
W 5765,0,0,0,0,0,0,0,0.010997238,0
W 5766,0,0,0,0,0,0,0.267861104,0.120539617,0.0626587
W 5767,0,0,0,0,0,0,0,0.038793199,0.043757007
W 5768,0,0,0,0,0,0,0,0.064437315,0.050007107
W 5769,0,0,0,0,0,0,0,0.082409101,0.055999455
W 5770,0,0,0,0,0,0,0,0.139006904,0.098334252
W 5771,0,0,0,0,0,0,0.37603502,0.10982034,0.036665083
W 5773,0,0,0,0,0,0,0.133473874,0.109838368,0.081935262
W 5774,0,0,0,0,0,0,0,0,0
W 5786,0,0,0,0,0,0,0,0,0.498264521
W 5787,0,0,0,0,0,0,0,0,0.207566293
W 5788,0,0,0,0,0,0,0,0,0
W 5790,0,0,0,0,0,0,0,0,0
W 5791,0,0,0,0,0,0,0,0,0
W 5792,0,0,0,0,0,0,0,0,0.160538789
W 5793,0,0,0,0,0,0,0,0,0
W 5794,0,0,0,0,0,0,0,0,0.29889003
W 5795,0,0,0,0,0,0,0,0,0.345526051
W 5797,0,0,0,0,0,0,0,0,0
W 5799,0,0,0,0,0,0,0,0,0
W 5800,0,0,0,0,0,0,0,0,0
W 5803,0,0,0,0,0,0,0,0,0
W 5806,0,0,0,0,0,0,0,0,0
W 5807,0,0,0,0,0,0,0,0,0
W 5808,0,0,0,0,0,0,0,0,0
W 5809,0,0,0,0,0,0,0,0,0
W 5811,0,0,0,0,0,0,0,0,0.295656275
W 5812,0,0,0,0,0,0,0,0,0.457704138
W 5815,0,0,0,0,0,0,0,0,0.542079726
W 5827,0,0,0,0,0,0,0,0.373360053,0.247677755
W 5829,0,0,0,0,0,0,0,0,0
W 5830,0,0,0,0,0,0,0,0.426335639,0.343638011
W 5831,0,0,0,0,0,0,0,0,0.156219838
W 5832,0,0,0,0,0,0,0,0.26449762,0.176061224
W 5833,0,0,0,0,0,0,0,0.160735538,0.140972045
W 5834,0,0,0,0,0,0,0,0,0.052667795
W 5835,0,0,0,0,0,0,0,0.323572172,0.159384142
W 5838,0,0,0,0,0,0,0,0,0.124822189
W 5839,0,0,0,0,0,0,0,0.266905663,0
W 5840,0,0,0,0,0,0,0,0.450693524,0.117431982
W 5841,0,0,0,0,0,0.161420843,0.154077269,0.04554129,0.022346307
W 5843,0,0,0,0,0,0,0.091076028,0.087244762,0.037703731
W 5844,0,0,0,0,0,0.289327878,0.194903828,0.092490041,0.049743113
W 5845,0,0,0,0,0.630052871,0.204262142,0,0.096554444,0.063498429
W 5846,0,0,0,0,0.630493541,0.32852904,0,0.05115664,0.039864959
W 5847,0,0,0,0,0,0,0,0,0
W 5850,0,0,0,0,0,0,0.06442643,0.032280375,0.021492015
W 5851,0,0,0,0,0,0,0,0,0
W 5852,0,0,0,0,0,0,0.166330779,0.091308275,0.047570788
W 5854,0,0,0,0,0,0,0.087274641,0.058746079,0.031789351
W 5855,0,0,0,0,0,0,0.085524072,0.048029581,0.03533486
W 5856,0,0,0,0,0,0,0.056635678,0.030233561,0.01525073
W 5857,0,0,0,0,0,0,0.089176305,0.041209959,0.016491318
W 5858,0,0,0,0,0,0,0,0,0
W 5864,0,0,0,0,0,0,0,0,0
W 5865,0,0,0,0,0,0,0,0,0
W 5866,0,0,0,0,0,0,0,0,0
W 5868,0,0,0,0,0,0,0,0,0
W 5869,0,0,0,0,0,0.060945964,0,0,0
W 5870,0,0,0,0,0,0.12522614,0.109834418,0.035270326,0.041382483
W 5871,0,0,0,0,0,0.121619817,0.048976895,0.031074205,0.029929852
W 5873,0,0,0,0,0,0,0,0.123507793,0.074394806
W 5875,0,0,0,0,0,0,0,0,0
W 5877,0,0,0,0,0,0,0,0.119934381,0
W 5878,0,0,0,0,0,0,0.096891872,0.023528424,0
W 5879,0,0,0,0,0,0,0,0,0.12883567
W 5880,0,0,0,0,0,0,0,0,0.056801157
W 5881,0,0,0,0,0,0,0,0,0.213369494
W 5885,0,0,0,0,0,0,0,0,0.074520705
W 5909,0,0,0,0,0,0,0,0,0
W 5911,0,0,0,0,0,0,0,0,0.059660245
W 5912,0,0,0,0,0,0,0,0.23789372,0.11613895
W 5914,0,0,0,0,0,0,0.206704474,0.127498254,0.086081933
W 5915,0,0,0,0,0,0,0,0.055409957,0.07201423
W 5920,0,0,0,0,0,0,0,0.099655691,0.038211819
W 5926,0,0,0,0,0,0,0,0.139726009,0.091308397
W 5927,0,0,0,0,0,0,0,0.092827147,0.05971695
W 5929,0,0,0,0,0,0,0,0.144070671,0.070751303
W 5932,0,0,0,0,0,0.32141489,0.240551779,0.082276841,0.055349977
W 5935,0,0,0,0,0,0,0,0.182092866,0.067306543
W 5938,0,0,0,0,0,0,0,0,0.102699545
W 5943,0,0,0,0,0,0,0,0.15864542,0.136598
W 5955,0,0,0,0,0,0,0.213269017,0.187264537,0.141031326
W 5960,0,0,0,0,0,0,0,0,0
W 5961,0,0,0,0,0,0,0,0,0
W 5962,0,0,0,0,0,0,0,0,0
W 5963,0,0,0,0,0,0,0,0,0
W 5964,0,0,0,0,0,0,0,0,0
W 5965,0,0,0,0,0,0,0,0,0
W 5966,0,0,0,0,0,0,0,0,0
W 5967,0,0,0,0,0,0,0,0,0
W 5968,0,0,0,0,0,0,0.104553959,0.004383562,0
W 5969,0,0,0,0,0,0,0.113578745,0.066274867,0.061206817
W 5970,0,0,0,0,0,0,0,0,0.209354063
W 5971,0,0,0,0,0,0,0,0,0.162214411
W 5972,0,0,0,0,0,0,0,0,0.257201667
W 5973,0,0,0,0,0,0,0,0,0.186162969
W 5975,0,0,0,0,0,0,0,0,0
W 5977,0,0,0,0,0,0,0,0,0.211915641
W 5981,0,0,0,0,0,0,0,0,0
W 5982,0,0,0,0,0,0,0,0,0
W 5983,0,0,0,0,0,0,0,0,0
W 5984,0,0,0,0,0,0,0,0,0
W 6004,0,0,0,0,0,0,0,0,0.521622921
W 6007,0,0,0,0,0,0,0,0,0.528037398
W 6016,0,0,0,0,0,0,0,0,0.266415056
W 6022,0,0,0,0,0,0,0,0,0.102020364
W 6023,0,0,0,0,0,0,0,0,0.288710192
W 6025,0,0,0,0,0,0,0,0,0
W 6051,0,0,0,0,0,0,0,0,0.416077383
W 6058,0,0,0,0,0,0,0,0,0.226065766
W 6060,0,0,0,0,0,0,0,0,0.491676103
W 6063,0,0,0,0,0,0,0,0,0
W 6068,0,0,0,0,0,0,0,0,0
W 6073,0,0,0,0,0,0,0,0,0
W 6077,0,0,0,0,0,0,0,0,0.291140238
W 6083,0,0,0,0,0,0,0,0,0.331401505
W 6084,0,0,0,0,0,0,0,0,0
W 6085,0,0,0,0,0,0,0,0,0
W 6086,0,0,0,0,0,0,0,0,0.334661749
W 6088,0,0,0,0,0,0,0,0,0
W 6090,0,0,0,0,0,0,0,0,0
W 6091,0,0,0,0,0,0,0,0,0.156982843
W 6093,0,0,0,0,0,0,0,0,0.064916457
W 6133,0,0,0,0,0,0,0,0,0
W 6156,0,0,0,0,0,0,0,0,0.289774171
W 6158,0,0,0,0,0,0,0,0,0
W 6163,0,0,0,0,0,0,0,0,0.18221181
W 6166,0,0,0,0,0,0,0,0,0
W 6191,0,0,0,0,0,0,0,0,0
W 6193,0,0,0,0,0,0,0,0,0
W 6200,0,0,0,0,0,0,0,0,0
W 6474,0,0,0,0,0,0,0,0,0.474479832
W 6618,0,0,0,0,0,0,0,0.771367088,0
W 6619,0,0,0,0,0,0,0,0.785564718,0.53388683
WA5789,0,0,0,0,0,0,0,0,0
WA5979,0,0,0,0,0,0,0,0,0
WA5980,0,0,0,0,0,0,0,0,0.29565296
WA6050,0,0,0,0,0,0,0,0,0
WA6065,0,0,0,0,0,0,0,0,0
WA6069,0,0,0,0,0,0,0,0,0
WA6096,0,0,0,0,0,0,0,0,0
WA6098,0,0,0,0,0,0,0,0,0
WA6137,0,0,0,0,0,0,0,0,0
WA6152,0,0,0,0,0,0,0,0,0
WA6153,0,0,0,0,0,0,0,0,0
WA6159,0,0,0,0,0,0,0,0,0
WA6162,0,0,0,0,0,0,0,0,0
WA6164,0,0,0,0,0,0,0,0,0
WA6180,0,0,0,0,0,0,0,0,0
WA6188,0,0,0,0,0,0,0,0,0
WA6189,0,0,0,0,0,0,0,0,0
WA6194,0,0,0,0,0,0,0,0,0
WA6207,0,0,0,0,0,0,0,0,0
WA6228,0,0,0,0,0,0,0,0,0
WA6236,0,0,0,0,0,0,0,0,0
WA6262,0,0,0,0,0,0,0,0,0
WA6299,0,0,0,0,0,0,0,0,0
WA6338,0,0,0,0,0,0,0,0,0
WA6376,0,0,0,0,0,0,0,0,0
WA6601,0,0,0,0,0,0,0,0,0
WA6608,0,0,0,0,0,0,0,0,0
