Brkenn,X_WERT,Y_WERT,wellid,y,x,k,losstype,pumploc,qlimit,ppflag,pumpcap,rw,hlim,qcut
W 5088,2531980.38,5661411.2,well26,775.67,3789.45,2,thiem,0,0,0,0,0.5,6,0
W 5090,2531811.07,5661321.16,well27,865.71,3620.14,2,thiem,0,0,0,0,0.5,6,0
W 5093,2531980.55,5661080.36,well28,1106.51,3789.62,2,thiem,0,0,0,0,0.5,6,0
W 5094,2531951.68,5661180.39,well29,1006.48,3760.75,2,thiem,0,0,0,0,0.5,6,0
W 5095,2531930.63,5661281.86,well30,905.01,3739.7,2,thiem,0,0,0,0,0.5,6,0
W 5099,2531910.46,5660880.5,well31,1306.37,3719.53,2,thiem,0,0,0,0,0.5,6,0
W 5100,2531820.76,5660840.34,well32,1346.53,3629.83,2,thiem,0,0,0,0,0.5,6,0
W 5110,2531900.19,5661920.96,well33,265.91,3709.26,2,thiem,0,0,0,0,0.5,6,0
W 5111,2531800.96,5661940.89,well34,245.98,3610.03,2,thiem,0,0,0,0,0.5,6,0
W 5112,2531701,5661961.1,well35,225.77,3510.07,2,thiem,0,0,0,0,0.5,6,0
W 5113,2531610.16,5661991.17,well36,195.7,3419.23,2,thiem,0,0,0,0,0.5,6,0
W 5114,2531931.56,5660770.62,well37,1416.25,3740.63,2,thiem,0,0,0,0,0.5,6,0
W 5115,2531914.9,5660627.31,well38,1559.56,3723.97,2,thiem,0,0,0,0,0.5,6,0
W 5116,2531710.18,5660561.03,well39,1625.84,3519.25,2,thiem,0,0,0,0,0.5,6,0
W 5117,2531837.94,5660381.06,well40,1805.81,3647.01,2,thiem,0,0,0,0,0.5,6,0
W 5119,2531910.93,5660230.89,well41,1955.98,3720,2,thiem,0,0,0,0,0.5,6,0
W 5128,2531900.71,5659350.8,well42,2836.07,3709.78,2,thiem,0,0,0,0,0.5,6,0
W 5130,2531950.95,5659910.44,well43,2276.43,3760.02,2,thiem,0,0,0,0,0.5,6,0
W 5132,2531770.99,5659991.07,well44,2195.8,3580.06,2,thiem,0,0,0,0,0.5,6,0
W 5134,2531680.69,5659800.75,well45,2386.12,3489.76,2,thiem,0,0,0,0,0.5,6,0
W 5135,2531430,5659732.02,well46,2454.85,3239.07,2,thiem,0,0,0,0,0.5,6,0
W 5136,2531601.27,5659620.5,well47,2566.37,3410.34,2,thiem,0,0,0,0,0.5,6,0
W 5138,2531500.94,5659440.53,well48,2746.34,3310.01,2,thiem,0,0,0,0,0.5,6,0
W 5140,2531680.96,5659340.83,well49,2846.04,3490.03,2,thiem,0,0,0,0,0.5,6,0
W 5142,2531943.69,5659498.32,well50,2688.55,3752.76,2,thiem,0,0,0,0,0.5,6,0
W 5143,2531850.38,5659617.36,well51,2569.51,3659.45,2,thiem,0,0,0,0,0.5,6,0
W 5144,2531710.76,5659640.34,well52,2546.53,3519.83,2,thiem,0,0,0,0,0.5,6,0
W 5324,2531866.06,5657929.34,well53,4257.53,3675.13,2,thiem,0,0,0,0,0.5,6,0
W 5325,2531836.79,5658001.95,well54,4184.92,3645.86,2,thiem,0,0,0,0,0.5,6,0
W 5326,2531743.44,5658089.19,well55,4097.68,3552.51,2,thiem,0,0,0,0,0.5,6,0
W 5327,2531739.01,5658248.85,well56,3938.02,3548.08,2,thiem,0,0,0,0,0.5,6,0
W 5329,2531797.01,5658390.33,well57,3796.54,3606.08,2,thiem,0,0,0,0,0.5,6,0
W 5330,2531891.81,5658417.87,well58,3769,3700.88,2,thiem,0,0,0,0,0.5,6,0
W 5335,2531673.89,5659071.78,well59,3115.09,3482.96,2,thiem,0,0,0,0,0.5,6,0
W 5336,2531496.59,5659001.45,well60,3185.42,3305.66,2,thiem,0,0,0,0,0.5,6,0
W 5354,2531988.16,5657332.38,well61,4854.49,3797.23,2,thiem,0,0,0,0,0.5,6,0
W 5355,2531950.21,5657461.72,well62,4725.15,3759.28,2,thiem,0,0,0,0,0.5,6,0
W 5356,2531891.22,5657583.48,well63,4603.39,3700.29,2,thiem,0,0,0,0,0.5,6,0
W 5357,2531900.56,5657684.39,well64,4502.48,3709.63,2,thiem,0,0,0,0,0.5,6,0
W 5358,2531891.56,5658078.84,well65,4108.03,3700.63,2,thiem,0,0,0,0,0.5,6,0
W 5359,2531876.78,5658276.91,well66,3909.96,3685.85,2,thiem,0,0,0,0,0.5,6,0
W 5362,2531911.35,5658661.52,well67,3525.35,3720.42,2,thiem,0,0,0,0,0.5,6,0
W 5367,2531880.5,5659009.6,well68,3177.27,3689.57,2,thiem,0,0,0,0,0.5,6,0
W 5368,2531818.37,5659118.35,well69,3068.52,3627.44,2,thiem,0,0,0,0,0.5,6,0
W 5369,2531668.09,5659167.91,well70,3018.96,3477.16,2,thiem,0,0,0,0,0.5,6,0
W 5370,2531780.94,5659411.01,well71,2775.86,3590.01,2,thiem,0,0,0,0,0.5,6,0
W 5371,2531667.73,5659482.09,well72,2704.78,3476.8,2,thiem,0,0,0,0,0.5,6,0
W 5372,2531976.61,5659740.74,well73,2446.13,3785.68,2,thiem,0,0,0,0,0.5,6,0
W 5373,2531841.86,5659758.51,well74,2428.36,3650.93,2,thiem,0,0,0,0,0.5,6,0
W 5374,2531938.61,5660056.51,well75,2130.36,3747.68,2,thiem,0,0,0,0,0.5,6,0
W 5376,2531844.92,5660190.19,well76,1996.68,3653.99,2,thiem,0,0,0,0,0.5,6,0
W 5377,2531944.44,5660293.53,well77,1893.34,3753.51,2,thiem,0,0,0,0,0.5,6,0
W 5379,2531822.07,5660721.16,well78,1465.71,3631.14,2,thiem,0,0,0,0,0.5,6,0
W 5380,2531825.01,5660966.85,well79,1220.02,3634.08,2,thiem,0,0,0,0,0.5,6,0
W 5381,2531822.19,5661057.06,well80,1129.81,3631.26,2,thiem,0,0,0,0,0.5,6,0
W 5382,2531841.04,5661211.78,well81,975.09,3650.11,2,thiem,0,0,0,0,0.5,6,0
W 5383,2531799.34,5661453.48,well82,733.39,3608.41,2,thiem,0,0,0,0,0.5,6,0
W 5384,2531907.75,5661455.02,well83,731.85,3716.82,2,thiem,0,0,0,0,0.5,6,0
W 5389,2531537.77,5659816.74,well84,2370.13,3346.84,2,thiem,0,0,0,0,0.5,6,0
W 5390,2531429.71,5659860,well85,2326.87,3238.78,2,thiem,0,0,0,0,0.5,6,0
W 5391,2531657.19,5659928.82,well86,2258.05,3466.26,2,thiem,0,0,0,0,0.5,6,0
W 5392,2531544.59,5659985.24,well87,2201.63,3353.66,2,thiem,0,0,0,0,0.5,6,0
W 5393,2531386.24,5660058.48,well88,2128.39,3195.31,2,thiem,0,0,0,0,0.5,6,0
W 5394,2531658.19,5660037.7,well89,2149.17,3467.26,2,thiem,0,0,0,0,0.5,6,0
W 5395,2531521.96,5660124.5,well90,2062.37,3331.03,2,thiem,0,0,0,0,0.5,6,0
W 5397,2531595.3,5660234.6,well91,1952.27,3404.37,2,thiem,0,0,0,0,0.5,6,0
W 5399,2531702.57,5660372.32,well92,1814.55,3511.64,2,thiem,0,0,0,0,0.5,6,0
W 5400,2531567.22,5660402.6,well93,1784.27,3376.29,2,thiem,0,0,0,0,0.5,6,0
W 5401,2531621.68,5660572.7,well94,1614.17,3430.75,2,thiem,0,0,0,0,0.5,6,0
W 5402,2531488.6,5660582.56,well95,1604.31,3297.67,2,thiem,0,0,0,0,0.5,6,0
W 5403,2531273.51,5660552.54,well96,1634.33,3082.58,2,thiem,0,0,0,0,0.5,6,0
W 5404,2531161.82,5660569.35,well97,1617.52,2970.89,2,thiem,0,0,0,0,0.5,6,0
W 5405,2531530.56,5660663.05,well98,1523.82,3339.63,2,thiem,0,0,0,0,0.5,6,0
W 5406,2531524.74,5660849.89,well99,1336.98,3333.81,2,thiem,0,0,0,0,0.5,6,0
W 5407,2531446.69,5660951.44,well100,1235.43,3255.76,2,thiem,0,0,0,0,0.5,6,0
W 5408,2531386.23,5661085.06,well101,1101.81,3195.3,2,thiem,0,0,0,0,0.5,6,0
W 5409,2531408.94,5661244.69,well102,942.18,3218.01,2,thiem,0,0,0,0,0.5,6,0
W 5410,2531360.34,5661330.03,well103,856.84,3169.41,2,thiem,0,0,0,0,0.5,6,0
W 5411,2531377.71,5661488.51,well104,698.36,3186.78,2,thiem,0,0,0,0,0.5,6,0
W 5413,2531291.8,5661565.26,well105,621.61,3100.87,2,thiem,0,0,0,0,0.5,6,0
W 5414,2531428.62,5661715.96,well106,470.91,3237.69,2,thiem,0,0,0,0,0.5,6,0
W 5415,2531041.62,5661575.79,well107,611.08,2850.69,2,thiem,0,0,0,0,0.5,6,0
W 5416,2531219.34,5661671.26,well108,515.61,3028.41,2,thiem,0,0,0,0,0.5,6,0
W 5418,2531171.02,5661786.38,well109,400.49,2980.09,2,thiem,0,0,0,0,0.5,6,0
W 5419,2531139.14,5661937.42,well110,249.45,2948.21,2,thiem,0,0,0,0,0.5,6,0
W 5420,2531096.19,5662062.96,well111,123.91,2905.26,2,thiem,0,0,0,0,0.5,6,0
W 5421,2531328.34,5660798.71,well112,1388.16,3137.41,2,thiem,0,0,0,0,0.5,6,0
W 5423,2531302.24,5660948.57,well113,1238.3,3111.31,2,thiem,0,0,0,0,0.5,6,0
W 5424,2531291.22,5661083.34,well114,1103.53,3100.29,2,thiem,0,0,0,0,0.5,6,0
W 5425,2531270.71,5661236.68,well115,950.19,3079.78,2,thiem,0,0,0,0,0.5,6,0
W 5426,2531842.45,5657222.86,well116,4964.01,3651.52,2,thiem,0,0,0,0,0.5,6,0
W 5427,2531920.13,5657126.13,well117,5060.74,3729.2,2,thiem,0,0,0,0,0.5,6,0
W 5429,2531868.82,5657327.42,well118,4859.45,3677.89,2,thiem,0,0,0,0,0.5,6,0
W 5430,2531837.25,5657455.96,well119,4730.91,3646.32,2,thiem,0,0,0,0,0.5,6,0
W 5431,2531790.45,5657566.86,well120,4620.01,3599.52,2,thiem,0,0,0,0,0.5,6,0
W 5432,2531704.07,5657650.68,well121,4536.19,3513.14,2,thiem,0,0,0,0,0.5,6,0
W 5433,2531604.75,5657632.4,well122,4554.47,3413.82,2,thiem,0,0,0,0,0.5,6,0
W 5435,2531512.19,5657720.96,well123,4465.91,3321.26,2,thiem,0,0,0,0,0.5,6,0
W 5436,2531595.28,5657911.33,well124,4275.54,3404.35,2,thiem,0,0,0,0,0.5,6,0
W 5437,2531622.44,5658066.75,well125,4120.12,3431.51,2,thiem,0,0,0,0,0.5,6,0
W 5438,2531660.14,5658209.84,well126,3977.03,3469.21,2,thiem,0,0,0,0,0.5,6,0
W 5439,2531740.45,5658438.57,well127,3748.3,3549.52,2,thiem,0,0,0,0,0.5,6,0
W 5440,2531596.42,5658507.85,well128,3679.02,3405.49,2,thiem,0,0,0,0,0.5,6,0
W 5441,2531604.96,5658654.94,well129,3531.93,3414.03,2,thiem,0,0,0,0,0.5,6,0
W 5442,2531512.94,5658778.82,well130,3408.05,3322.01,2,thiem,0,0,0,0,0.5,6,0
W 5443,2531405.88,5658838.27,well131,3348.6,3214.95,2,thiem,0,0,0,0,0.5,6,0
W 5444,2531403.84,5658916.47,well132,3270.4,3212.91,2,thiem,0,0,0,0,0.5,6,0
W 5445,2531348.54,5659052.81,well133,3134.06,3157.61,2,thiem,0,0,0,0,0.5,6,0
W 5446,2531277.42,5659197.41,well134,2989.46,3086.49,2,thiem,0,0,0,0,0.5,6,0
W 5447,2531219.07,5659310.62,well135,2876.25,3028.14,2,thiem,0,0,0,0,0.5,6,0
W 5451,2531690.05,5658567.26,well136,3619.61,3499.12,2,thiem,0,0,0,0,0.5,6,0
W 5452,2531852.43,5658734.64,well137,3452.23,3661.5,2,thiem,0,0,0,0,0.5,6,0
W 5453,2531901.99,5658828.07,well138,3358.8,3711.06,2,thiem,0,0,0,0,0.5,6,0
W 5454,2531781.81,5658939.63,well139,3247.24,3590.88,2,thiem,0,0,0,0,0.5,6,0
W 5455,2531663.59,5658818.27,well140,3368.6,3472.66,2,thiem,0,0,0,0,0.5,6,0
W 5457,2531570.46,5658993.93,well141,3192.94,3379.53,2,thiem,0,0,0,0,0.5,6,0
W 5465,2531724.27,5657908.97,well142,4277.9,3533.34,2,thiem,0,0,0,0,0.5,6,0
W 5466,2531575.18,5659138.53,well143,3048.34,3384.25,2,thiem,0,0,0,0,0.5,6,0
W 5468,2531407.5,5659305.96,well144,2880.91,3216.57,2,thiem,0,0,0,0,0.5,6,0
W 5470,2531533.02,5659283.96,well145,2902.91,3342.09,2,thiem,0,0,0,0,0.5,6,0
W 5471,2531318.54,5659389.73,well146,2797.14,3127.61,2,thiem,0,0,0,0,0.5,6,0
W 5472,2531286.92,5659505.96,well147,2680.91,3095.99,2,thiem,0,0,0,0,0.5,6,0
W 5473,2531293.47,5659674.98,well148,2511.89,3102.54,2,thiem,0,0,0,0,0.5,6,0
W 5474,2531134.76,5659705.48,well149,2481.39,2943.83,2,thiem,0,0,0,0,0.5,6,0
W 5476,2531124.04,5659770.95,well150,2415.92,2933.11,2,thiem,0,0,0,0,0.5,6,0
W 5477,2531130.35,5659832.1,well151,2354.77,2939.42,2,thiem,0,0,0,0,0.5,6,0
W 5478,2531190.93,5659948.64,well152,2238.23,3000,2,thiem,0,0,0,0,0.5,6,0
W 5479,2531238.87,5660056.13,well153,2130.74,3047.94,2,thiem,0,0,0,0,0.5,6,0
W 5480,2531324.54,5660144.85,well154,2042.02,3133.61,2,thiem,0,0,0,0,0.5,6,0
W 5481,2531372.44,5660226.51,well155,1960.36,3181.51,2,thiem,0,0,0,0,0.5,6,0
W 5482,2531281.7,5660313.53,well156,1873.34,3090.77,2,thiem,0,0,0,0,0.5,6,0
W 5483,2531174.05,5660366.78,well157,1820.09,2983.12,2,thiem,0,0,0,0,0.5,6,0
W 5484,2531093.48,5660348.47,well158,1838.4,2902.55,2,thiem,0,0,0,0,0.5,6,0
W 5485,2531086.34,5660513.48,well159,1673.39,2895.41,2,thiem,0,0,0,0,0.5,6,0
W 5486,2531052.73,5660610.67,well160,1576.2,2861.8,2,thiem,0,0,0,0,0.5,6,0
W 5487,2531043.04,5660752.12,well161,1434.75,2852.11,2,thiem,0,0,0,0,0.5,6,0
W 5489,2530995.31,5660933.1,well162,1253.77,2804.38,2,thiem,0,0,0,0,0.5,6,0
W 5491,2530986.51,5661174.26,well163,1012.61,2795.58,2,thiem,0,0,0,0,0.5,6,0
W 5493,2530909.78,5661414.87,well164,772,2718.85,2,thiem,0,0,0,0,0.5,6,0
W 5495,2530878.47,5661690.73,well165,496.14,2687.54,2,thiem,0,0,0,0,0.5,6,0
W 5498,2530844,5661914.38,well166,272.49,2653.07,2,thiem,0,0,0,0,0.5,6,0
W 5499,2530769.47,5662010.98,well167,175.89,2578.54,2,thiem,0,0,0,0,0.5,6,0
W 5502,2531565.36,5660961.12,well168,1225.75,3374.43,2,thiem,0,0,0,0,0.5,6,0
W 5503,2531581.2,5661144.99,well169,1041.88,3390.27,2,thiem,0,0,0,0,0.5,6,0
W 5504,2531518.74,5661322.13,well170,864.74,3327.81,2,thiem,0,0,0,0,0.5,6,0
W 5510,2531303.03,5661848.52,well171,338.35,3112.1,2,thiem,0,0,0,0,0.5,6,0
W 5512,2531253.61,5662007.12,well172,179.75,3062.68,2,thiem,0,0,0,0,0.5,6,0
W 5513,2531224.77,5661363.51,well173,823.36,3033.84,2,thiem,0,0,0,0,0.5,6,0
W 5515,2531196.04,5661482.67,well174,704.2,3005.11,2,thiem,0,0,0,0,0.5,6,0
W 5516,2531444.37,5661986.76,well175,200.11,3253.44,2,thiem,0,0,0,0,0.5,6,0
W 5517,2531346.46,5662019.93,well176,166.94,3155.53,2,thiem,0,0,0,0,0.5,6,0
W 5518,2531162.25,5662012.52,well177,174.35,2971.32,2,thiem,0,0,0,0,0.5,6,0
W 5519,2530983.7,5662031.96,well178,154.91,2792.77,2,thiem,0,0,0,0,0.5,6,0
W 5520,2530857.59,5662020.41,well179,166.46,2666.66,2,thiem,0,0,0,0,0.5,6,0
W 5525,2531797.67,5658521.23,well180,3665.64,3606.74,2,thiem,0,0,0,0,0.5,6,0
W 5538,2530711.86,5662014.79,well181,172.08,2520.93,2,thiem,0,0,0,0,0.5,6,0
W 5539,2530601.27,5661976.98,well182,209.89,2410.34,2,thiem,0,0,0,0,0.5,6,0
W 5540,2530512.27,5661948.14,well183,238.73,2321.34,2,thiem,0,0,0,0,0.5,6,0
W 5541,2530406.98,5661917.75,well184,269.12,2216.05,2,thiem,0,0,0,0,0.5,6,0
W 5542,2530286.41,5661899.04,well185,287.83,2095.48,2,thiem,0,0,0,0,0.5,6,0
W 5543,2530225.88,5661856.01,well186,330.86,2034.95,2,thiem,0,0,0,0,0.5,6,0
W 5544,2530227.54,5661726.61,well187,460.26,2036.61,2,thiem,0,0,0,0,0.5,6,0
W 5545,2530253.28,5661500.66,well188,686.21,2062.35,2,thiem,0,0,0,0,0.5,6,0
W 5546,2530394.32,5661216.93,well189,969.94,2203.39,2,thiem,0,0,0,0,0.5,6,0
W 5547,2530523.19,5661036.82,well190,1150.05,2332.26,2,thiem,0,0,0,0,0.5,6,0
W 5548,2530702.41,5660903.94,well191,1282.93,2511.48,2,thiem,0,0,0,0,0.5,6,0
W 5550,2530882.59,5660641.53,well192,1545.34,2691.66,2,thiem,0,0,0,0,0.5,6,0
W 5552,2530982.68,5660426.87,well193,1760,2791.75,2,thiem,0,0,0,0,0.5,6,0
W 5553,2530921.62,5660217.53,well194,1969.34,2730.69,2,thiem,0,0,0,0,0.5,6,0
W 5554,2530753.02,5660283.15,well195,1903.72,2562.09,2,thiem,0,0,0,0,0.5,6,0
W 5557,2531036.89,5659617.88,well196,2568.99,2845.96,2,thiem,0,0,0,0,0.5,6,0
W 5559,2530609.45,5659439.18,well197,2747.69,2418.52,2,thiem,0,0,0,0,0.5,6,0
W 5560,2530418.63,5659414.36,well198,2772.51,2227.7,2,thiem,0,0,0,0,0.5,6,0
W 5561,2530540.03,5659218.16,well199,2968.71,2349.1,2,thiem,0,0,0,0,0.5,6,0
W 5562,2530618.63,5659093.2,well200,3093.67,2427.7,2,thiem,0,0,0,0,0.5,6,0
W 5563,2530760.1,5658894.36,well201,3292.51,2569.17,2,thiem,0,0,0,0,0.5,6,0
W 5564,2530905.44,5658679.01,well202,3507.86,2714.51,2,thiem,0,0,0,0,0.5,6,0
W 5565,2530999.79,5658576.92,well203,3609.95,2808.86,2,thiem,0,0,0,0,0.5,6,0
W 5566,2531184.25,5658318.85,well204,3868.02,2993.32,2,thiem,0,0,0,0,0.5,6,0
W 5567,2531298.62,5658113.15,well205,4073.72,3107.69,2,thiem,0,0,0,0,0.5,6,0
W 5568,2531443.52,5657936.03,well206,4250.84,3252.59,2,thiem,0,0,0,0,0.5,6,0
W 5569,2531656.8,5657340.86,well207,4846.01,3465.87,2,thiem,0,0,0,0,0.5,6,0
W 5571,2531796.12,5656930.64,well208,5256.23,3605.19,2,thiem,0,0,0,0,0.5,6,0
W 5572,2531117.81,5658418.62,well209,3768.25,2926.88,2,thiem,0,0,0,0,0.5,6,0
W 5576,2530986.62,5661881.28,well210,305.59,2795.69,2,thiem,0,0,0,0,0.5,6,0
W 5580,2531465.06,5661608.37,well211,578.5,3274.13,2,thiem,0,0,0,0,0.5,6,0
W 5582,2531150.71,5661096.5,well212,1090.37,2959.78,2,thiem,0,0,0,0,0.5,6,0
W 5583,2531121.38,5660953.13,well213,1233.74,2930.45,2,thiem,0,0,0,0,0.5,6,0
W 5584,2531067.25,5660823.4,well214,1363.47,2876.32,2,thiem,0,0,0,0,0.5,6,0
W 5586,2531247.42,5660414.28,well215,1772.59,3056.49,2,thiem,0,0,0,0,0.5,6,0
W 5587,2531432.02,5660445.54,well216,1741.33,3241.09,2,thiem,0,0,0,0,0.5,6,0
W 5588,2531285.59,5659783.36,well217,2403.51,3094.66,2,thiem,0,0,0,0,0.5,6,0
W 5590,2531405.43,5659576.2,well218,2610.67,3214.5,2,thiem,0,0,0,0,0.5,6,0
W 5592,2530696.24,5661803.82,well219,383.05,2505.31,2,thiem,0,0,0,0,0.5,6,0
W 5593,2530766.44,5661666.65,well220,520.22,2575.51,2,thiem,0,0,0,0,0.5,6,0
W 5594,2530761.76,5661525.34,well221,661.53,2570.83,2,thiem,0,0,0,0,0.5,6,0
W 5596,2530841.45,5661270.06,well222,916.81,2650.52,2,thiem,0,0,0,0,0.5,6,0
W 5598,2530069.57,5661871.73,well223,315.14,1878.64,2,thiem,0,0,0,0,0.5,6,0
W 5599,2529943.87,5661845.26,well224,341.61,1752.94,2,thiem,0,0,0,0,0.5,6,0
W 5600,2529841.91,5661755.67,well225,431.2,1650.98,2,thiem,0,0,0,0,0.5,6,0
W 5601,2529783.05,5661792.93,well226,393.94,1592.12,2,thiem,0,0,0,0,0.5,6,0
W 5602,2529650.4,5661774.78,well227,412.09,1459.47,2,thiem,0,0,0,0,0.5,6,0
W 5603,2529585.53,5661704.25,well228,482.62,1394.6,2,thiem,0,0,0,0,0.5,6,0
W 5604,2529582.63,5661519.57,well229,667.3,1391.7,2,thiem,0,0,0,0,0.5,6,0
W 5605,2529654.35,5661328.57,well230,858.3,1463.42,2,thiem,0,0,0,0,0.5,6,0
W 5606,2529723.24,5661003.14,well231,1183.73,1532.31,2,thiem,0,0,0,0,0.5,6,0
W 5607,2529733.86,5660844.16,well232,1342.71,1542.93,2,thiem,0,0,0,0,0.5,6,0
W 5608,2529821.5,5660583.95,well233,1602.92,1630.57,2,thiem,0,0,0,0,0.5,6,0
W 5609,2529929.7,5660372.44,well234,1814.43,1738.77,2,thiem,0,0,0,0,0.5,6,0
W 5610,2529991.23,5660183.15,well235,2003.72,1800.3,2,thiem,0,0,0,0,0.5,6,0
W 5611,2530316.3,5660173.87,well236,2013,2125.37,2,thiem,0,0,0,0,0.5,6,0
W 5612,2530374.41,5660086.32,well237,2100.55,2183.48,2,thiem,0,0,0,0,0.5,6,0
W 5613,2530575.4,5659805.5,well238,2381.37,2384.47,2,thiem,0,0,0,0,0.5,6,0
W 5614,2530618.55,5659585.86,well239,2601.01,2427.62,2,thiem,0,0,0,0,0.5,6,0
W 5617,2531095.94,5661428.3,well240,758.57,2905.01,2,thiem,0,0,0,0,0.5,6,0
W 5618,2531092.31,5661288.77,well241,898.1,2901.38,2,thiem,0,0,0,0,0.5,6,0
W 5619,2530494.23,5661856.05,well242,330.82,2303.3,2,thiem,0,0,0,0,0.5,6,0
W 5620,2530379.41,5661782.07,well243,404.8,2188.48,2,thiem,0,0,0,0,0.5,6,0
W 5621,2530567.31,5661660.32,well244,526.55,2376.38,2,thiem,0,0,0,0,0.5,6,0
W 5622,2530595.81,5661576.87,well245,610,2404.88,2,thiem,0,0,0,0,0.5,6,0
W 5623,2530563.12,5661467.53,well246,719.34,2372.19,2,thiem,0,0,0,0,0.5,6,0
W 5626,2530412.66,5661661.85,well247,525.02,2221.73,2,thiem,0,0,0,0,0.5,6,0
W 5627,2530394.99,5661531.65,well248,655.22,2204.06,2,thiem,0,0,0,0,0.5,6,0
W 5628,2530509.37,5661366.26,well249,820.61,2318.44,2,thiem,0,0,0,0,0.5,6,0
W 5629,2530709.21,5661351.89,well250,834.98,2518.28,2,thiem,0,0,0,0,0.5,6,0
W 5631,2530737.46,5661187.21,well251,999.66,2546.53,2,thiem,0,0,0,0,0.5,6,0
W 5632,2530857.45,5661066.9,well252,1119.97,2666.52,2,thiem,0,0,0,0,0.5,6,0
W 5633,2530833.49,5660892.04,well253,1294.83,2642.56,2,thiem,0,0,0,0,0.5,6,0
W 5634,2530791.28,5660992.05,well254,1194.82,2600.35,2,thiem,0,0,0,0,0.5,6,0
W 5638,2530543.26,5661202.64,well255,984.23,2352.33,2,thiem,0,0,0,0,0.5,6,0
W 5639,2530599.19,5661108.37,well256,1078.5,2408.26,2,thiem,0,0,0,0,0.5,6,0
W 5640,2530638.39,5660982.72,well257,1204.15,2447.46,2,thiem,0,0,0,0,0.5,6,0
W 5643,2531052.16,5660163.7,well258,2023.17,2861.23,2,thiem,0,0,0,0,0.5,6,0
W 5646,2531182.23,5660228.43,well259,1958.44,2991.3,2,thiem,0,0,0,0,0.5,6,0
W 5648,2531100.09,5660019.25,well260,2167.62,2909.16,2,thiem,0,0,0,0,0.5,6,0
W 5649,2530927.67,5660005.48,well261,2181.39,2736.74,2,thiem,0,0,0,0,0.5,6,0
W 5650,2531010.19,5659835.25,well262,2351.62,2819.26,2,thiem,0,0,0,0,0.5,6,0
W 5651,2529489.74,5661680.64,well263,506.23,1298.81,2,thiem,0,0,0,0,0.5,6,0
W 5654,2529311.35,5661467.34,well264,719.53,1120.42,2,thiem,0,0,0,0,0.5,6,0
W 5655,2529453.65,5661208.6,well265,978.27,1262.72,2,thiem,0,0,0,0,0.5,6,0
W 5656,2529537.33,5660912.45,well266,1274.42,1346.4,2,thiem,0,0,0,0,0.5,6,0
W 5657,2529591.76,5660712.12,well267,1474.75,1400.83,2,thiem,0,0,0,0,0.5,6,0
W 5658,2529677.3,5660496.36,well268,1690.51,1486.37,2,thiem,0,0,0,0,0.5,6,0
